Id,Probability
0081300002Opd6vAAB,12
0081300002PO6ziAAD,12
0081300002PO7RvAAL,12
0081300002POF3RAAX,12
0081300002POb9jAAD,12
0081300002POhYLAA1,12
0081300002POhboAAD,12
0081300002PP74gAAD,12
0081300002PRenSAAT,12
0081300002PRencAAD,12
0081300002QCJ3DAAX,12
0081300002QCJ3SAAX,12
0081300002QCJ3cAAH,12
0081300002QCcNYAA1,12
0081300002QCdz4AAD,12
0081300002POZZbAAP,12
0081300002PRyBLAA1,12
0081300002Rxar8AAB,12
0081300002S0f5wAAB,12
0084v00003shf2ZAAQ,12
0084v00003shf4aAAA,12
0081300002PObUNAA1,12
0081300002QCIY0AAP,12
0081300002QD11CAAT,12
0081300002Rzp8YAAR,12
0081300002PPYwqAAH,12
0081300002PPYxeAAH,12
0081300002PPYy8AAH,12
0081300002PPmZvAAL,12
0081300002PRYp1AAH,12
0081300002PRdLEAA1,12
0081300002PRegRAAT,12
0081300002PRemtAAD,12
0081300002R98PXAAZ,12
0081300002RAxYNAA1,12
0081300002RylabAAB,12
0081300002SiDcYAAV,12
0081300002SiDeUAAV,12
0081300002Sjz50AAB,12
0081300002Sjz70AAB,12
0081300002d7JVFAA2,12
0084v00003shf2dAAA,12
0084v00003shf4eAAA,12
0081300002QCIhRAAX,12
0081300002QCIjcAAH,12
0081300002QCnuCAAT,12
0081300002QFo7FAAT,12
0081300002QFrUJAA1,12
0081300002RzDMvAAN,12
0084v00003shf2hAAA,12
0084v00003shf4iAAA,12
0081300002QD124AAD,12
0081300002QD15IAAT,12
0081300002QDCrgAAH,12
0081300002QEJzQAAX,12
0081300002QEKYUAA5,12
0081300002QEXAcAAP,12
0081300002QEr7cAAD,12
0081300002QErYiAAL,12
0081300002QErYxAAL,12
0081300002R9757AAB,12
0081300002R988WAAR,12
0081300002R98NWAAZ,12
0081300002R98P3AAJ,12
0081300002RyfoDAAR,12
0081300002Rz11dAAB,12
0081300002RzP3OAAV,12
0084v00003shf2kAAA,12
0084v00003shf4lAAA,12
0081300002QEwYZAA1,12
0081300002QEwYuAAL,12
0081300002QEwZNAA1,12
0081300002QEwbTAAT,12
0081300002QF3QdAAL,12
0081300002QGA6aAAH,12
0081300002R9uCbAAJ,12
0081300002R9uDyAAJ,12
0081300002R9ublAAB,12
0081300002R9xX3AAJ,12
0081300002RAc4oAAD,12
0081300002RBj8uAAD,12
0081300002RynubAAB,12
0081300002QFAeJAAX,12
0081300002Ryb1dAAB,12
0081300002Ryb93AAB,12
0081300002S0SwwAAF,12
0081300002TNy13AAD,12
0081300002TQwjZAAT,12
0081300002UCZT0AAP,12
0084v00003shf2vAAA,12
0084v00003shf4wAAA,12
0081300002QFbsYAAT,12
0081300002R9vzyAAB,12
0081300002RAY1qAAH,12
0081300002RB6xFAAT,12
0081300002RB8sRAAT,12
0081300002RBlv9AAD,12
0081300002RxapbAAB,12
0081300002RzYXWAA3,12
0081300002QFcJiAAL,12
0081300002QFo2FAAT,12
0084v00003shf2zAAA,12
0084v00003shf50AAA,12
0081300002RA690AAD,12
0081300002RA6AXAA1,12
0081300002RA6B1AAL,12
0081300002RA7OpAAL,12
0081300002RA7SIAA1,12
